Quantidade total de usuarios atendidos: 347

Tempo médio de espera nas filas: 38s
Tempo médio de espera na fila 1: 30s
Tempo médio de espera na fila 2: 41s
Tempo médio de espera na fila 3: 38s
Tempo médio de espera na fila 4: 38s
Tempo médio de espera na fila 5: 47s

Tempo médio de atendimento das bancadas: 27s
Tempo médio de atendimento na bancada 0: 14s
Quantidade de usuarios atendidos pela bancada 0: 42
Tempo médio de atendimento na bancada 1: 15s
Quantidade de usuarios atendidos pela bancada 1: 55
Tempo médio de atendimento na bancada 2: 15s
Quantidade de usuarios atendidos pela bancada 2: 53
Tempo médio de atendimento na bancada 3: 15s
Quantidade de usuarios atendidos pela bancada 3: 54
Tempo médio de atendimento na bancada 4: 16s
Quantidade de usuarios atendidos pela bancada 4: 50
Tempo médio de atendimento na bancada 5: 16s
Quantidade de usuarios atendidos pela bancada 5: 50

Quantidade de Legumes consumida (92% de aceitação): 32.410Kg
Quantidade de Ovo consumida (47% de aceitação): 12.212Kg
Quantidade de Arroz consumida (78% de aceitação): 40.447Kg
Quantidade de Sopa consumida (70% de aceitação): 17.072Kg
Quantidade de Feijao consumida (47% de aceitação): 18.244Kg
Quantidade de Carne consumida (67% de aceitação): 28.032Kg

Tempo médio de atendimento dos serventes: 4
Quantidade de usuarios atendidos pelo servente 01: 18
Quantidade de usuarios atendidos pelo servente 02: 19
Quantidade de usuarios atendidos pelo servente 03: 20
Quantidade de usuarios atendidos pelo servente 04: 26
Quantidade de usuarios atendidos pelo servente 05: 19
Quantidade de usuarios atendidos pelo servente 06: 19
Quantidade de usuarios atendidos pelo servente 07: 20
Quantidade de usuarios atendidos pelo servente 08: 19
Quantidade de usuarios atendidos pelo servente 09: 19
Quantidade de usuarios atendidos pelo servente 10: 20
Quantidade de usuarios atendidos pelo servente 11: 24
Quantidade de usuarios atendidos pelo servente 12: 20
Quantidade de usuarios atendidos pelo servente 13: 18
Quantidade de usuarios atendidos pelo servente 14: 15
Quantidade de usuarios atendidos pelo servente 15: 25
Quantidade de usuarios atendidos pelo servente 16: 30
Quantidade de usuarios atendidos pelo servente 17: 27
Quantidade de usuarios atendidos pelo servente 18: 20
Quantidade de usuarios atendidos pelo servente 19: 21
Quantidade de usuarios atendidos pelo servente 20: 19
Quantidade de usuarios atendidos pelo servente 21: 20
Quantidade de usuarios atendidos pelo servente 22: 17
Quantidade de usuarios atendidos pelo servente 23: 22
Quantidade de usuarios atendidos pelo servente 24: 20
Quantidade de usuarios atendidos pelo servente 25: 22
Quantidade de usuarios atendidos pelo servente 26: 18
Quantidade de usuarios atendidos pelo servente 27: 24
Quantidade de usuarios atendidos pelo servente 28: 24
Quantidade de usuarios atendidos pelo servente 29: 19
Quantidade de usuarios atendidos pelo servente 30: 26
Quantidade de usuarios atendidos pelo servente 31: 17
Quantidade de usuarios atendidos pelo servente 32: 17
Quantidade de usuarios atendidos pelo servente 33: 26
Quantidade de usuarios atendidos pelo servente 34: 18
Quantidade de usuarios atendidos pelo servente 35: 31
Quantidade de usuarios atendidos pelo servente 36: 19
Quantidade de usuarios atendidos pelo servente 37: 16
Quantidade de usuarios atendidos pelo servente 38: 20
Quantidade de usuarios atendidos pelo servente 39: 22
Quantidade de usuarios atendidos pelo servente 40: 24
Quantidade de usuarios atendidos pelo servente 41: 20
Quantidade de usuarios atendidos pelo servente 42: 24
Quantidade de usuarios atendidos pelo servente 43: 21
Quantidade de usuarios atendidos pelo servente 44: 24
Quantidade de usuarios atendidos pelo servente 45: 19
Quantidade de usuarios atendidos pelo servente 46: 26
Quantidade de usuarios atendidos pelo servente 47: 16
Quantidade de usuarios atendidos pelo servente 48: 27
Quantidade de usuarios atendidos pelo servente 49: 22
Quantidade de usuarios atendidos pelo servente 50: 25
Quantidade de usuarios atendidos pelo servente 51: 19
Quantidade de usuarios atendidos pelo servente 52: 28
Quantidade de usuarios atendidos pelo servente 53: 20
Quantidade de usuarios atendidos pelo servente 54: 12
Quantidade de usuarios atendidos pelo servente 55: 14
Quantidade de usuarios atendidos pelo servente 56: 17
Quantidade de usuarios atendidos pelo servente 57: 25
Quantidade de usuarios atendidos pelo servente 58: 23
Quantidade de usuarios atendidos pelo servente 59: 24
Quantidade de usuarios atendidos pelo servente 60: 15
Quantidade de usuarios atendidos pelo servente 61: 19
Quantidade de usuarios atendidos pelo servente 62: 18
Quantidade de usuarios atendidos pelo servente 63: 22
Quantidade de usuarios atendidos pelo servente 64: 21
Quantidade de usuarios atendidos pelo servente 65: 23
Quantidade de usuarios atendidos pelo servente 66: 17
Quantidade de usuarios atendidos pelo servente 67: 22
Quantidade de usuarios atendidos pelo servente 68: 20
Quantidade de usuarios atendidos pelo servente 69: 24
Quantidade de usuarios atendidos pelo servente 70: 26
Quantidade de usuarios atendidos pelo servente 71: 23
Quantidade de usuarios atendidos pelo servente 72: 13
Quantidade média de usúarios atendidos pelos serventes: 20
